Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=25_size=480_step=180_rho=0.100000/', output='./nu_node=25_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=False)
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8939650029827002
train acc=0.9987531172069826, test acc=0.900497512437811, train auc=0.9988207547169811, test auc=0.9014985014985014
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9006869772998806
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.9988344988344988, test auc=0.8885416666666667
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8669642857142857
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8722244250594765
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9056622851365015
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9295928500496524
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.9018620268620269
train acc=0.9987531172069826, test acc=0.8706467661691543, train auc=0.9988372093023256, test auc=0.8691019032513877
train acc=0.9987531172069826, test acc=0.9104477611940298, train auc=0.9988179669030732, test auc=0.9073573573573573
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988207547169811, test auc=0.8747752247752247
train acc=0.9987531172069826, test acc=0.845771144278607, train auc=0.9988452655889146, test auc=0.8454455445544555
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8382440476190477
train acc=0.9987531172069826, test acc=0.8557213930348259, train auc=0.9988262910798121, test auc=0.852299880525687
train acc=0.9987531172069826, test acc=0.9054726368159204, train auc=0.9988207547169811, test auc=0.9041458541458541
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8652703505644681
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.891222508420844
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8435076555975343
train acc=0.9987531172069826, test acc=0.9054726368159204, train auc=0.9988344988344988, test auc=0.9063988095238096
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8399544283732913
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9039570491151322
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.9988344988344988, test auc=0.8751488095238096
train acc=0.9987531172069826, test acc=0.8955223880597015, train auc=0.9988038277511962, test auc=0.893762677484787
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8776881720430108
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9068969051035047
train acc=0.9987531172069826, test acc=0.8507462686567164, train auc=0.9988317757009345, test auc=0.8481132075471698
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8846308186195827
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8907613005551149
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988317757009345, test auc=0.8796921549155908
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.9988290398126464, test auc=0.8728375422549214
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.900772430184195
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.9988179669030732, test auc=0.8668168168168169
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8905316606929511
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988179669030732, test auc=0.8824324324324325
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8762067578439259
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.8980236757624397
train acc=1.0, test acc=0.9203980099502488, train auc=1.0, test auc=0.9214456391875747
train acc=0.9987531172069826, test acc=0.900497512437811, train auc=0.9988179669030732, test auc=0.8972972972972973
train acc=0.9987531172069826, test acc=0.8507462686567164, train auc=0.9988452655889146, test auc=0.8505940594059406
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8897586757080175
train acc=0.9987531172069826, test acc=0.9154228855721394, train auc=0.9988262910798121, test auc=0.9123357228195939
train acc=0.9987531172069826, test acc=0.8606965174129353, train auc=0.9988452655889146, test auc=0.8606435643564357
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8945281522601111
train acc=0.9987531172069826, test acc=0.8855721393034826, train auc=0.9988290398126464, test auc=0.8821833366474449
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.875222816399287
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.998847926267281, test auc=0.8655940594059406
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8753713606654783
train acc=1.0, test acc=0.9203980099502488, train auc=1.0, test auc=0.919205495818399
train acc=0.9987531172069826, test acc=0.8855721393034826, train auc=0.9988207547169811, test auc=0.885014985014985
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8867542972699697
train acc=0.9987531172069826, test acc=0.9154228855721394, train auc=0.9988179669030732, test auc=0.9129129129129129
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8760454002389486
train acc=0.9987531172069826, test acc=0.9104477611940298, train auc=0.9988425925925927, test auc=0.9104278074866311
train acc=0.9987531172069826, test acc=0.9104477611940298, train auc=0.9988452655889146, test auc=0.9103465346534654
train acc=0.9987531172069826, test acc=0.8258706467661692, train auc=0.998847926267281, test auc=0.8261386138613862
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.9988095238095238, test auc=0.8726557773744706
train acc=0.9987531172069826, test acc=0.8955223880597015, train auc=0.9988452655889146, test auc=0.8956930693069308
train acc=1.0, test acc=0.9154228855721394, train auc=1.0, test auc=0.9159896968496137
train acc=0.9987531172069826, test acc=0.8507462686567164, train auc=0.998780487804878, test auc=0.8470360284876414
train acc=0.9987531172069826, test acc=0.9054726368159204, train auc=0.9988066825775656, test auc=0.9056622851365015
train acc=1.0, test acc=0.9253731343283582, train auc=1.0, test auc=0.9252030909451159
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8694940476190477
train acc=0.9987531172069826, test acc=0.8706467661691543, train auc=0.9988344988344988, test auc=0.8703869047619048
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.9988207547169811, test auc=0.864935064935065
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.9988151658767773, test auc=0.8621589085072231
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8556435643564355
train acc=0.9987531172069826, test acc=0.8955223880597015, train auc=0.9988207547169811, test auc=0.895054945054945
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.998798076923077, test auc=0.8786501939963243
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8863681394888052
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.9988207547169811, test auc=0.8886113886113887
train acc=0.9987531172069826, test acc=0.9154228855721394, train auc=0.9988584474885845, test auc=0.9150297619047619
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9084821428571429
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8767054574638845
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.9988151658767773, test auc=0.8687800963081862
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.9988235294117648, test auc=0.8734543278819306
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.9988235294117648, test auc=0.8617371360191463
train acc=0.9987531172069826, test acc=0.8557213930348259, train auc=0.9987951807228916, test auc=0.8478171756507481
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.9988317757009345, test auc=0.8738828202581926
train acc=0.9987531172069826, test acc=0.8855721393034826, train auc=0.9988425925925927, test auc=0.884878193701723
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.9988038277511962, test auc=0.8894523326572008
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.9988505747126436, test auc=0.890819964349376
train acc=0.9987531172069826, test acc=0.8706467661691543, train auc=0.9988317757009345, test auc=0.867527308838133
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8654646324549238
train acc=0.9987531172069826, test acc=0.8955223880597015, train auc=0.9988584474885845, test auc=0.8964285714285714
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8745519713261649
train acc=0.9987531172069826, test acc=0.8606965174129353, train auc=0.9987951807228916, test auc=0.8596023775363804
train acc=0.9987531172069826, test acc=0.8855721393034826, train auc=0.9988372093023256, test auc=0.8835249801744647
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8818885760257441
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9090406275140789
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8675183933187511
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988344988344988, test auc=0.8799107142857144
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8787172878667724
train acc=0.9987531172069826, test acc=0.9303482587064676, train auc=0.9988317757009345, test auc=0.9295928500496524
train acc=0.9987531172069826, test acc=0.8756218905472637, train auc=0.998798076923077, test auc=0.8744129058607311
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.865922920892495
train acc=0.9987531172069826, test acc=0.845771144278607, train auc=0.9988317757009345, test auc=0.8455809334657398
train acc=0.9987531172069826, test acc=0.8606965174129353, train auc=0.9988009592326139, test auc=0.8568376068376069
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8847296494355318
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8225183277194373
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988558352402747, test auc=0.8821867565424267
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8934955312810329
train acc=0.9987531172069826, test acc=0.9154228855721394, train auc=0.9988399071925754, test auc=0.9145036655438874
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8703869047619048
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8913799960230662
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8287794176306342
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9060798548094374
train acc=0.9987531172069826, test acc=0.845771144278607, train auc=0.9988151658767773, test auc=0.8454554574638844
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9066911910916683
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8938172043010753
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8253913215771747
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8905001024800163
train acc=0.9987531172069826, test acc=0.8507462686567164, train auc=0.9988372093023256, test auc=0.8498711340206185
train acc=0.9987531172069826, test acc=0.9203980099502488, train auc=0.9988372093023256, test auc=0.9196074544012688
train acc=0.9987531172069826, test acc=0.8855721393034826, train auc=0.9988207547169811, test auc=0.884065934065934
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8452380952380953
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8734543278819306
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8664553199920746
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8773809523809523
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8533033033033033
train acc=0.9987531172069826, test acc=0.8855721393034826, train auc=0.9988532110091742, test auc=0.8868634832573807
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8739809107178366
train acc=0.9987531172069826, test acc=0.845771144278607, train auc=0.9988344988344988, test auc=0.8452380952380953
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.9988399071925754, test auc=0.8642262730334853
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8982125124131084
train acc=0.9987531172069826, test acc=0.9154228855721394, train auc=0.9987951807228916, test auc=0.9190920270547244
train acc=0.9987531172069826, test acc=0.8656716417910447, train auc=0.9988207547169811, test auc=0.863986013986014
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988317757009345, test auc=0.8802383316782523
train acc=0.9987531172069826, test acc=0.8258706467661692, train auc=0.9988662131519274, test auc=0.8290023894862606
train acc=0.9987531172069826, test acc=0.8557213930348259, train auc=0.9988372093023256, test auc=0.8532910388580491
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9044904837430611
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8756805807622504
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8846726190476191
train acc=0.9987531172069826, test acc=0.9154228855721394, train auc=0.9987864077669903, test auc=0.9147125959742685
train acc=0.9987531172069826, test acc=0.9104477611940298, train auc=0.9987864077669903, test auc=0.9083834820502179
train acc=0.9987531172069826, test acc=0.8557213930348259, train auc=0.9988344988344988, test auc=0.8543154761904761
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.9988290398126464, test auc=0.890087492543249
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.998847926267281, test auc=0.8905940594059406
train acc=0.9987531172069826, test acc=0.8109452736318408, train auc=0.9988558352402747, test auc=0.812103489294211
train acc=0.9987531172069826, test acc=0.900497512437811, train auc=0.9988179669030732, test auc=0.8962462462462463
train acc=0.9987531172069826, test acc=0.845771144278607, train auc=0.998798076923077, test auc=0.8418419440473759
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9037921348314606
train acc=0.9987531172069826, test acc=0.8706467661691543, train auc=0.9988179669030732, test auc=0.8702702702702703
train acc=0.9987531172069826, test acc=0.8805970149253731, train auc=0.9988151658767773, test auc=0.8813202247191011
train acc=0.9987531172069826, test acc=0.8557213930348259, train auc=0.9988262910798121, test auc=0.8530465949820789
train acc=0.9987531172069826, test acc=0.8706467661691543, train auc=0.9988151658767773, test auc=0.8689305778491171
train acc=0.9987531172069826, test acc=0.8905472636815921, train auc=0.9988179669030732, test auc=0.8861861861861863
train acc=0.9987531172069826, test acc=0.900497512437811, train auc=0.9988179669030732, test auc=0.8972972972972973
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9010695187165776
train acc=0.9987531172069826, test acc=0.8955223880597015, train auc=0.998812351543943, test auc=0.8945092518101367
train_acc_list: min=0.9987531172069826, max=1.0, mean=0.9993017456359106, var=3.8308219476245674e-07
test_acc_list: min=0.8109452736318408, max=0.9303482587064676, mean=0.88106135986733, var=0.0005548861551831777
train_auc_list: min=0.998780487804878, max=1.0, mean=0.9993426084221064, var=3.397354581196976e-07
test_auc_list: min=0.812103489294211, max=0.9295928500496524, mean=0.8801926226951946, var=0.0005671031500958259
