Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=25_size=480_step=180_rho=0.100000/', output='./linear_node=25_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8654695024077047
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8734543278819306
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8625847626645393
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8394138143062103
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8891261171797418
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8697266785502079
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.863184584178499
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9058229352346999
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8780536246276068
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8705666732712503
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9020833333333333
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8760454002389486
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8596023775363804
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.888332672482157
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8604183427192277
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8673572003218021
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8388347584012725
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8898809523809523
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8739095955590801
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9101787487586893
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.86660200122524
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.865922920892495
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8602780536246276
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8542429792429793
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8746286393345216
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8072122052704578
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8863005551149881
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8646474677259186
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8953338617000198
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8500000000000001
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8767150526943727
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8479756681292381
train acc=1.0, test acc=0.9154228855721394, train auc=1.0, test auc=0.9091046581972171
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8320626003210273
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9079836945714853
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.852299880525687
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8411927877947295
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8947017831522853
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8196371927042031
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8952220459952418
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8668331668331668
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8604166666666666
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8743019545273235
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8564989102437092
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.877827380952381
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8453453453453453
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8723003764612641
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9079836945714853
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8461309523809523
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8443134535367545
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8787984111221451
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8783049805287968
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8584915084915086
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8865938430983119
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8282556750298686
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8532910388580491
train acc=1.0, test acc=0.9203980099502488, train auc=1.0, test auc=0.9206482950039651
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.852692075015124
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8808035714285714
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9020543681261672
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8771010583108529
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8534226190476191
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8926724995028832
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8856930693069307
