Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=50_size=4800_step=4800_rho=0.100000/', output='./linear_node=50_size=4800_step=4800_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=0.9987531172069826, test acc=0.945273631840796, train auc=0.9988636363636363, test auc=0.9440743686617618
train acc=0.9987531172069826, test acc=0.9203980099502488, train auc=0.9988207547169811, test auc=0.9206293706293707
train acc=1.0, test acc=0.9402985074626866, train auc=1.0, test auc=0.9392174432497014
train acc=0.9987531172069826, test acc=0.9253731343283582, train auc=0.9988344988344988, test auc=0.9245535714285714
train acc=0.9987531172069826, test acc=0.9303482587064676, train auc=0.9988584474885845, test auc=0.9302083333333334
train acc=0.9987531172069826, test acc=0.9353233830845771, train auc=0.9988558352402747, test auc=0.9371530531324346
train acc=0.9987531172069826, test acc=0.9651741293532339, train auc=0.9988066825775656, test auc=0.9622345803842264
train acc=0.9987531172069826, test acc=0.9502487562189055, train auc=0.9988317757009345, test auc=0.9500993048659384
train acc=0.9987531172069826, test acc=0.9303482587064676, train auc=0.9988009592326139, test auc=0.9334554334554335
train acc=0.9987531172069826, test acc=0.9253731343283582, train auc=0.9988372093023256, test auc=0.9258029341792228
train acc=0.9987531172069826, test acc=0.9552238805970149, train auc=0.9988179669030732, test auc=0.9552552552552553
train acc=0.9987531172069826, test acc=0.9253731343283582, train auc=0.9988207547169811, test auc=0.9232767232767233
train acc=0.9987531172069826, test acc=0.9253731343283582, train auc=0.9988452655889146, test auc=0.9253960396039606
train acc=1.0, test acc=0.9402985074626866, train auc=1.0, test auc=0.9401785714285714
train acc=0.9975062344139651, test acc=0.9203980099502488, train auc=0.9976525821596245, test auc=0.9214456391875747
train acc=0.9987531172069826, test acc=0.9402985074626866, train auc=0.9988207547169811, test auc=0.9397602397602397
train acc=1.0, test acc=0.9303482587064676, train auc=1.0, test auc=0.9303327391562686
train acc=0.9987531172069826, test acc=0.9353233830845771, train auc=0.9988532110091742, test auc=0.9349118288091935
train acc=1.0, test acc=0.9253731343283582, train auc=1.0, test auc=0.9247365281368064
train acc=0.9987531172069826, test acc=0.9751243781094527, train auc=0.9988344988344988, test auc=0.9748511904761904
